tipo_ingresso;como_voce_se_define;como_voce_se_define_se_outro;como_voce_se_indentifica;como_voce_se_indentifica_se_outro;faz_parte_da_populacao_t;orientaca_sexual;orientaca_sexual_se_outro;pessoa_com_necessidade_especifica;pessoa_com_necessidade_especifica_se_sim_qual;uf;pais;edicoes_anteriores_pybr;eventos_pybr;eventos_online;programa_em_python;nivel_python;estudante;trabalha_com_python;parte_de_alguma_comunidade;comunidade_qual;camiseta_tamanho
Inteira Terceiro Lote - Palestras;Uma pessoa negra / Persona negra;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;P - largura 50 cm x comprimento 67 cm
Inteira Terceiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RJ;BR;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2022 - Manaus - AM;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de dez anos / Hace más de diez años;Avançado / Avanzado;Não / No;Sim / Sí;Sim / Sí;pythonrio;M - largura 54 cm x comprimento 72 cm
Inteira Terceiro Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;BR;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10] | Python Brasil 2022 - Manaus - AM;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales;Sim / Sí;Há mais de dez anos / Hace más de diez años;Nulo :D;Não / No;Sim / Sí;Não / No;;M - largura 54 cm x comprimento 72 cm
Inteira Quarto Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SC;;Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP;Sim, eventos locais / Sí, eventos locales;Não / No;Há mais de dez anos / Hace más de diez años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
Meia-entrada Quarto Lote - Palestras;Prefiro não responder / Prefiero no decirlo;;Prefiro não responder / Prefiero no decirlo;;Prefiro não responder / Prefiero no decirlo;Prefiro não responder / Prefiero no decirlo;;Não / No;;SC;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;XGG - largura 63 cm x comprimento 82 cm
Inteira Quarto Lote - Palestras;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
Inteira Quarto Lote - Palestras;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;DF;BR;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
Inteira Quinto Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;BR;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos internacionais / Sí, eventos internacionales;Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;XGG - largura 63 cm x comprimento 82 cm
Inteira Quinto Lote - Palestras;Uma pessoa branca / Persona blanca;;Não-binárie / No binario;;Não / No;Hétero;;Não / No;;RS;BR;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
Inteira Quinto Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;BR;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
Inteira Quinto Lote - Palestras;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;BR;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;G - largura 58 cm x comprimento 77 cm
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Prefiro não responder / Prefiero no decirlo;;Não / No;;Não moro no Brasil / Fuera de América Latina;Estados Unidos;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, pós-graduação ou especialização / Sí, máster posgrado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;MG;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Há mais de um ano / Hace más de un año;Iniciante / Inicial;Sim, pós-graduação ou especialização / Sí, máster posgrado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Prefiro não responder / Prefiero no decirlo;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales;Não / No;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;AM;;Python Brasil 2022 - Manaus - AM;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Não / No;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa negra / Persona negra;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Não sei programar / No;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RN;;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil [14] - 2018 - Natal - RN;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Não / No;Há mais de cinco anos / Hace más de cinco años;Intermediário / Intermedio;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Não / No;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Sim / Sí;Deficiência motora;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Não sei programar / No;Nulo :D;Sim, pós-graduação ou especialização / Sí, máster posgrado;Não / No;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Bissexual / Bisexual;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, pós-graduação ou especialização / Sí, máster posgrado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa amarela;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;Não moro no Brasil / Fuera de América Latina;Alemanha;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP;Sim, eventos locais / Sí, eventos locales | Sim, eventos internacionais / Sí, eventos internacionales;Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Sim / Sí;PyLadies;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;PE;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Não / No;Não, mas pretendo / No, pero quiero;Não / No;;
Inteira Quinto Lote - Palestras;Outro / Otra;'-;Homem / Hombre;;Não / No;Prefiro não responder / Prefiero no decirlo;;Não / No;;DF;BR;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de três anos / Hace más de tres años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;M - largura 54 cm x comprimento 72 cm
EVENTO ONLINE GRATUITO;Uma pessoa amarela;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Gay;;Não / No;;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RJ;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;MG;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de um ano / Hace más de un año;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;PR;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Não, mas pretendo / No, pero quiero;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;GO;;Python Brasil 2019 - Ribeirão Preto - SP;Sim, eventos locais / Sí, eventos locales;Não / No;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;GO;;Python Brasil 2019 - Ribeirão Preto - SP;Sim, eventos locais / Sí, eventos locales;Não / No;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;GO;;Python Brasil 2019 - Ribeirão Preto - SP;Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Não / No;Há mais de dez anos / Hace más de diez años;Avançado / Avanzado;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Sim / Sí;Hétero;;Não / No;;DF;;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales;Sim / Sí;Não sei programar / No;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Não / No;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;GO;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de três anos / Hace más de tres años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Homem / Hombre;;Não / No;Hétero;;Não / No;;PR;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Lésbica / Lesbiana;;Não / No;;PA;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Não / No;Há mais de três anos / Hace más de tres años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa parda / Persona mestiza;;Mulher / Mujer;;Não / No;Bissexual / Bisexual;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Não sei programar / No;Nulo :D;Sim, graduação ou tecnólogo / Sí, grado;Não / No;Sim / Sí;Grupy-SP;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Mulher / Mujer;;Não / No;Lésbica / Lesbiana;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Não sei programar / No;Nulo :D;Não / No;Não / No;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;MG;;Python Brasil 2021 - Online;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Há mais de três anos / Hace más de tres años;Intermediário / Intermedio;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;RS;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes;Iniciante / Inicial;Não / No;Não / No;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SC;;Python Brasil 2021 - Online | Python Brasil 2020 - Online | Python Brasil 2022 - Manaus - AM;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa amarela;;Mulher / Mujer;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Comecei no último ano / Empecé en el último ano;Iniciante / Inicial;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Não / No;Há mais de três anos / Hace más de tres años;Avançado / Avanzado;Não / No;Sim / Sí;Não / No;;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Hétero;;Não / No;;SC;;É a minha primeira vez no evento! / Es mi primera vez;Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia);Sim / Sí;Há mais de cinco anos / Hace más de cinco años;Avançado / Avanzado;Não / No;Sim / Sí;Sim / Sí;PyFloripa;
EVENTO ONLINE GRATUITO;Uma pessoa branca / Persona blanca;;Homem / Hombre;;Não / No;Prefiro não responder / Prefiero no decirlo;;Prefiro não responder / Prefiero no decirlo;;SP;;É a minha primeira vez no evento! / Es mi primera vez;Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python;Sim / Sí;Comecei no último ano / Empecé en el último ano;Intermediário / Intermedio;Sim, graduação ou tecnólogo / Sí, grado;Sim / Sí;Não / No;;
